Date,Open,Close,COVID Case,COVID Death,Volume,Value
2020-08-27,0.42,0.42,5,0,89.245,33.78
2020-08-28,0.425,0.42,10,0,89.245,33.78
2020-09-01,0.42,0.42,14,1,89.245,33.78
2020-09-02,0.42,0.42,6,0,89.245,33.78
2020-09-03,0.415,0.415,14,0,89.245,33.78
2020-09-04,0.405,0.41,11,0,89.245,33.78
2020-09-07,0.415,0.41,62,0,89.245,33.78
2020-09-08,0.415,0.41,100,0,89.245,33.78
2020-09-09,0.405,0.4,24,0,89.245,33.78
2020-09-10,0.405,0.4,45,0,89.245,33.78
2020-09-11,0.4,0.4,182,0,89.245,33.78
2020-09-14,0.405,0.41,31,1,89.245,33.78
2020-09-15,0.415,0.41,23,0,89.245,33.78
2020-09-17,0.415,0.415,21,0,89.245,33.78
2020-09-18,0.415,0.415,95,1,89.245,33.78
2020-09-21,0.415,0.405,57,0,89.245,33.78
2020-09-22,0.405,0.41,82,1,89.245,33.78
2020-09-23,0.41,0.405,147,1,89.245,33.78
2020-09-24,0.4,0.405,72,0,89.245,33.78
2020-09-25,0.41,0.405,110,0,89.245,33.78
2020-09-28,0.405,0.4,115,1,89.245,33.78
2020-09-29,0.4,0.4,101,0,89.245,33.78
2020-09-30,0.4,0.4,89,0,89.245,33.78
2020-10-01,0.4,0.395,260,0,91.247,38.355
2020-10-02,0.395,0.395,287,2,91.247,38.355
2020-10-05,0.42,0.41,432,3,91.247,38.355
2020-10-06,0.42,0.39,691,1,91.247,38.355
2020-10-07,0.39,0.395,489,3,91.247,38.355
2020-10-08,0.395,0.39,375,5,91.247,38.355
2020-10-09,0.385,0.4,354,4,91.247,38.355
2020-10-12,0.395,0.4,563,3,91.247,38.355
2020-10-13,0.395,0.395,660,4,91.247,38.355
2020-10-14,0.39,0.39,660,4,91.247,38.355
2020-10-15,0.385,0.39,589,2,91.247,38.355
2020-10-16,0.39,0.39,629,6,91.247,38.355
2020-10-19,0.39,0.395,865,7,91.247,38.355
2020-10-20,0.39,0.39,862,4,91.247,38.355
2020-10-21,0.39,0.395,732,7,91.247,38.355
2020-10-22,0.395,0.39,847,11,91.247,38.355
2020-10-23,0.39,0.385,710,9,91.247,38.355
2020-10-26,0.385,0.38,1240,2,91.247,38.355
2020-10-27,0.38,0.38,835,2,91.247,38.355
2020-10-28,0.385,0.38,801,10,91.247,38.355
2020-10-30,0.38,0.38,799,3,91.247,38.355
2020-11-02,0.375,0.375,834,2,91.247,38.355
2020-11-03,0.375,0.375,1054,2,91.247,38.355
2020-11-04,0.37,0.375,1032,1,91.247,38.355
2020-11-05,0.375,0.38,1009,6,91.247,38.355
2020-11-06,0.38,0.38,1755,2,91.247,38.355
2020-11-09,0.38,0.38,972,8,91.247,38.355
2020-11-10,0.375,0.385,869,6,91.247,38.355
2020-11-11,0.385,0.38,822,2,91.247,38.355
2020-11-12,0.38,0.385,919,1,91.247,38.355
2020-11-13,0.385,0.385,1304,1,91.247,38.355
2020-11-16,0.385,0.395,1103,4,91.247,38.355
2020-11-17,0.405,0.41,1210,5,91.247,38.355
2020-11-18,0.415,0.41,660,4,91.247,38.355
2020-11-19,0.41,0.4,1290,4,91.247,38.355
2020-11-20,0.4,0.405,958,3,91.247,38.355
2020-11-23,0.405,0.405,1884,2,91.247,38.355
2020-11-24,0.405,0.395,2188,4,91.247,38.355
2020-11-25,0.39,0.39,970,4,91.247,38.355
2020-11-26,0.395,0.405,935,3,91.247,38.355
2020-11-27,0.405,0.4,1109,2,91.247,38.355
2020-11-30,0.4,0.38,1212,3,91.247,38.355
2020-12-01,0.385,0.395,1472,2,91.247,38.355
2020-12-02,0.395,0.405,851,2,91.247,38.355
2020-12-03,0.405,0.43,1075,11,91.247,38.355
2020-12-04,0.43,0.43,1141,0,91.247,38.355
2020-12-07,0.435,0.445,1600,2,91.247,38.355
2020-12-08,0.45,0.475,1012,4,91.247,38.355
2020-12-09,0.475,0.455,959,5,91.247,38.355
2020-12-10,0.455,0.455,2234,3,91.247,38.355
2020-12-11,0.455,0.46,1810,6,91.247,38.355
2020-12-14,0.465,0.485,1371,4,91.247,38.355
2020-12-15,0.485,0.49,1772,3,91.247,38.355
2020-12-16,0.5,0.5,1295,7,91.247,38.355
2020-12-17,0.51,0.505,1220,3,91.247,38.355
2020-12-18,0.51,0.515,1683,0,91.247,38.355
2020-12-21,0.51,0.505,2018,1,91.247,38.355
2020-12-22,0.505,0.475,2062,1,91.247,38.355
2020-12-23,0.47,0.49,1348,5,91.247,38.355
2020-12-24,0.495,0.495,1581,2,91.247,38.355
